영화명,개봉일,관객수,스크린수,대표국적,배급사
히달고,2004-03-19,"121,578",22.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
모나리자 스마일,2004-03-19,"120,995",28.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
화이트 칙스,2004-11-17,"115,302",24.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
스쿨 오브 락,2004-02-27,"115,000",25.0,영국,"윤스,UIP코리아"
발레 교습소,2004-12-03,"114,478",25.0,한국,씨제이엔터테인먼트
사랑도 통역이 되나요?,2004-02-20,"112,127",18.0,미국,씨제이엔터테인먼트
모터사이클 다이어리,2004-11-12,"110,000",18.0,영국,UIP코리아
허니,2004-03-26,"100,000",19.0,미국,UIP코리아
진주 귀걸이를 한 소녀,2004-09-03,"95,000",11.0,영국,"(주)영화사 진진,필름뱅크(주)"
빈집,2004-10-15,"94,928",29.0,한국,영화사청어람(주)
몬스터,2004-06-18,"92,535",10.0,독일,무비즈엔터테인먼트㈜
고티카,2004-04-02,"90,062",20.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
여고생 시집가기,2004-12-23,"85,840",7.0,한국,무비즈엔터테인먼트㈜
거미숲,2004-09-03,"83,411",26.0,한국,영화사청어람(주)
사랑에 빠지는 아주 특별한 법칙,2004-11-12,"82,800",30.0,아일랜드,코리아픽쳐스(주)
엘프,2004-12-15,"82,320",24.0,미국,이십세기폭스코리아(주)
헌티드,2004-03-12,"81,973",20.0,미국,(주)튜브엔터테인먼트
노 브레인 레이스,2004-09-24,"81,423",6.0,미국,롯데쇼핑㈜롯데시네마
런어웨이,2004-01-30,"80,030",31.0,미국,이십세기폭스필름코퍼레이션
타임라인,2004-02-27,"79,650",14.0,미국,(주)튜브엔터테인먼트
21 그램,2004-10-23,"75,647",22.0,미국,(주)영화사한결
귀여워,2004-11-26,"74,905",31.0,한국,(주)튜브엔터테인먼트
내 남자 친구는 왕자님,2004-06-18,"72,694",16.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
신석기 블루스,2004-12-30,"71,805",33.0,한국,(주)쇼박스
열두명의 웬수들,2004-02-13,"69,350",24.0,미국,이십세기폭스필름코퍼레이션
돌려차기,2004-07-23,"69,000",23.0,한국,(주)시네마서비스
클레멘타인,2004-05-21,"67,000",15.0,한국,(주)엔터모드
인 더 컷,2004-04-30,"66,524",22.0,미국,씨제이엔터테인먼트
스쿠비-두2 : 몬스터 대소동,2004-04-30,"65,610",17.0,미국,워너브러더스 코리아(주)
프레디 대 제이슨-13일의 금요일11,2004-08-27,"63,638",0.0,미국,(주)영화사한결
완벽한 그녀에게 딱 한가지 없는 것,2004-11-05,"59,929",20.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
내 생애 최고의 데이트,2004-03-19,"59,652",7.0,미국,씨제이엔터테인먼트
더티 댄싱 - 하바나 나이트,2004-04-23,"58,385",19.0,미국,아우라엔터테인먼트
신암행어사,2004-11-26,"56,709",25.0,한국,(주)시네마서비스
갓센드,2004-09-03,"54,100",76.0,미국,(주)시네마서비스
러브 미 이프 유 대어,2004-03-05,"54,000",20.0,프랑스,(주)엔터모드
도마 안중근,2004-09-10,"50,000",30.0,한국,(주)소스원프로덕션
베이직,2004-02-06,"49,900",19.0,미국,코리아픽쳐스(주)
천공의 성 라퓨타,2004-04-30,"49,052",5.0,일본,대원미디어(주)
망치,2004-08-06,"47,502",7.0,한국,스폰지
쿼바디스 도미네,2004-12-10,"47,300",3.0,폴란드,신한영화(주)
팜므 파탈,2004-11-17,"42,000",17.0,프랑스,(주)시네마서비스
레이디킬러,2004-06-04,"38,883",13.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
서바이빙 크리스마스,2004-12-24,"36,875",11.0,미국,씨제이엔터테인먼트
"조제, 호랑이 그리고 물고기들",2004-10-29,"36,513",5.0,일본,"(주)프레인글로벌,(주)스폰지이엔티"
스타스키와 허치,2004-04-30,"35,908",23.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
고독이 몸부림칠 때,2004-03-19,"34,349",12.0,한국,"(주)쇼박스,영화사풍년상회(주)"
이노센스,2004-10-08,"31,249",21.0,일본,(주)시네마서비스
휴먼 스테인,2004-03-05,"29,346",12.0,미국,(주)쇼박스
헌티드 맨션,2004-04-15,"28,611",10.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
영 아담,2004-12-03,"27,838",16.0,영국,롯데쇼핑㈜롯데엔터테인먼트
붙어야 산다,2004-02-27,"25,450",15.0,미국,이십세기폭스필름코퍼레이션
대단한 유혹,2004-06-25,"25,171",8.0,캐나다,필름뱅크(주)
셧업,2004-08-27,"25,000",0.0,프랑스,쇼이스트(주)
곰이 되고 싶어요,2004-01-30,"24,339",3.0,덴마크,필름뱅크(주)
아임 낫 스케어드,2004-08-06,"24,136",2.0,스페인,(주)씨네진
송환,2004-03-19,"23,496",4.0,한국,㈜인디스토리
나쁜 교육,2004-09-17,"21,586",13.0,스페인,"(주)스폰지이엔티,(주)홈초이스"
미치고 싶을 때,2004-11-12,"20,798",20.0,독일,제이에스필름
배틀로얄 2 - 레퀴엠,2004-04-09,"20,488",11.0,일본,(주)동아수출공사
오토기리소우,2004-04-23,"20,199",4.0,일본,무비즈엔터테인먼트㈜
강호,2004-10-22,"18,800",15.0,홍콩,쇼이스트(주)
웨일 라이더,2004-10-08,"18,723",20.0,뉴질랜드,무비즈엔터테인먼트㈜
팻 걸,2004-08-20,"18,351",9.0,프랑스,㈜영화사 백두대간
마법경찰 갈갈이와 옥동자,2004-02-13,"18,346",16.0,한국,콜럼비아트라이스타㈜
아저씨 우리 결혼할까요?,2004-10-15,"17,362",1.0,홍콩,씨네파크
아웃 오브 타임,2004-03-12,"17,060",17.0,미국,이십세기폭스필름코퍼레이션
머나먼 사랑,2004-02-13,"15,000",7.0,미국,UIP코리아
카우 삼총사,2004-08-06,"14,396",1.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
연애사진,2004-04-09,"12,981",9.0,일본,(주)스폰지이엔티
엘리펀트,2004-08-27,"12,812",9.0,미국,(주)동숭아트센터
취한 말들을 위한 시간,2004-07-30,"12,099",1.0,이란,㈜영화사 백두대간
퍼니셔,2004-09-10,"11,645",5.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
룩 앳 미,2004-12-23,"11,319",5.0,프랑스,(주)스폰지이엔티
음양사2,2004-06-25,"10,362",1.0,일본,(주)아펙스 엔터테인먼트
피구의 제왕,2004-11-12,"10,320",9.0,미국,이십세기폭스필름코퍼레이션
판타스틱 플래닛,2004-04-09,"10,306",3.0,프랑스,㈜영화사 백두대간
프리키 프라이데이,2004-04-02,"9,815",5.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
슈퍼 사이즈 미,2004-11-12,"9,603",10.0,미국,(주)스튜디오이쩜영
아메리칸 러브홀릭,2004-03-26,"9,321",1.0,미국,에이펙스엔터테인먼트
노 맨스 랜드,2004-12-03,"9,138",8.0,프랑스,㈜영화사 백두대간
춤추는 대수사선 2,2003-12-12,"9,091",40.0,일본,(주)오시네마
스페니쉬 아파트먼트,2004-01-01,"8,840",2.0,스페인,이십세기폭스필름코퍼레이션
고하토,2004-04-23,"8,789",12.0,일본,(주)오시네마
우작,2004-11-05,"8,754",1.0,터키,(주)문필름코리아
블러디 선데이,2004-06-18,"7,996",5.0,영국,㈜영화사 백두대간
엄마는 여자를 좋아해,2004-04-30,"7,411",3.0,스페인,판씨네마(주)
미로,2004-11-26,"7,203",1.0,프랑스,(주)씨네진
영원과 하루,2004-11-17,"7,099",3.0,그리스,㈜영화사 백두대간
더 블루스-소울 오브 맨,2004-05-14,"6,834",2.0,독일,(주)스폰지이엔티
클린,2004-11-26,"6,124",11.0,프랑스,(주)스폰지이엔티
천년여우,2004-07-09,"6,028",4.0,일본,무비즈엔터테인먼트㈜
엘시드 - 전설의 영웅,2004-02-13,"6,004",3.0,스페인,아우라엔터테인먼트
러브 인 아프리카,2004-12-10,"5,907",6.0,독일,(주)튜브엔터테인먼트
사무라이,2004-02-20,"5,216",2.0,프랑스,에이펙스엔터테인먼트
신설국,2004-02-27,"4,799",3.0,일본,(주)동아수출공사
섹스 이즈 코메디,2004-09-16,"4,702",4.0,프랑스,㈜영화사 백두대간
호텔 비너스,2004-09-10,"4,358",3.0,일본,씨제이엔터테인먼트
베른의 기적,2004-09-10,"3,631",5.0,독일,"무비즈엔터테인먼트㈜,팝엔터테인먼트"
붉은 다리 아래 따뜻한 물,2004-04-30,"3,514",4.0,일본,(주)동숭아트센터
